Method,Name,Error,Occurrences
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b37ecb50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae99d1d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae94e0d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8d5a10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b762f10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae9b4990>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e8e3950>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae923410>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b77f1d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8985e4fd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae91b350>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b775550>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8985e8290>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae838a10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cb7ed0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cf4e10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae83a1d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae88b490>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8a5d90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,RemoteDisconnected('Remote end closed connection without response'),1744
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a68c4c90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,RemoteDisconnected('Remote end closed connection without response'),372
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae96b2d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae89a990>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8972862d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d1d110>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae940050>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cb8110>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4ca4d10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b3807610>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e8c3410>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e886ad0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b711b50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d29ad0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
POST,/api/submit,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a68899d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8ecf10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8985d3590>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae80ba10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae776490>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae9a6c90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,RemoteDisconnected('Remote end closed connection without response'),373
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b3801750>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae7e8510>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",3
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cb1a10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a6801850>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e886550>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b3810e90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae904750>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e84b990>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a68cae50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e84c090>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f898574790>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a687a390>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a68c5650>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae918b90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b3816c50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",2
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f895cfe7d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae92a510>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d00c90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
POST,/api/submit,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae81dc50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89857fb10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8e73d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
POST,/api/submit,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f897304bd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae942e10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e8e4410>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae9ac510>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae9af550>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b3813c50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e8e0910>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae996010>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89856de10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cb95d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cb4a50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/game,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e8da950>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d2b010>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",7
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d6c790>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8e5810>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8ee690>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a6805450>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cc3d50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8e4050>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8731d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/game,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",3
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8a7490>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
POST,/api/submit,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b6bb4d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4d1f310>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89726cb50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae95a690>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae87f410>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae922050>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8a8b10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae90b690>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b705e50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae962b50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b7370d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a681db50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae890f50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a687a4d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/game,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e88ed10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8985b0110>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e8e2090>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae909dd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae774d50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a6811bd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4cba250>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,RemoteDisconnected('Remote end closed connection without response'),321
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b687bd0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
POST,/api/submit,"ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)",5
GET,/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e845050>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4ca5750>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/hint,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8b4ca1610>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b716f90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae920a90>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,RemoteDisconnected('Remote end closed connection without response'),507
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e88de10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89e8e0350>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f89b73d110>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae968390>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae80a910>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae95be50>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
DELETE,/api/new,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8a683d4d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae919ed0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
GET,/api/leaderboard,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f898645050>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8985b3d10>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PUT,/api/undo,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae8c3450>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
PATCH,/api/move,"ConnectTimeoutError(<HTTPConnection(host='192.168.0.22', port=18080) at 0x1f8ae9086d0>, 'Connection to 192.168.0.22 timed out. (connect timeout=None)')",1
